Peek Lid Scan 

Barcode Fluorometer 1: 10164802459125008321372; 
Barcode Fluorometer 2: 20163102452123308261375; 

SystemTime; Bank No;	Well No;	Color;	RFU;	Time;	CycleNo; 
2020-06-19   13:24:47 ;	0;	24;	1;	3579;0;	0; 
2020-06-19   13:24:47 ;	0;	54;	1;	3736;0;	0; 
2020-06-19   13:24:47 ;	0;	28;	2;	1155;0;	0; 
2020-06-19   13:24:47 ;	0;	58;	2;	1078;0;	0; 
2020-06-19   13:24:47 ;	0;	11;	3;	797;0;	0; 
2020-06-19   13:24:47 ;	0;	41;	3;	802;0;	0; 
2020-06-19   13:24:47 ;	0;	2;	4;	1266;0;	0; 
2020-06-19   13:24:47 ;	0;	32;	4;	1335;0;	0; 
2020-06-19   13:24:47 ;	0;	9;	0;	32010;0;	0; 
2020-06-19   13:24:47 ;	0;	39;	0;	29431;0;	0; 
2020-06-19   13:24:47 ;	0;	25;	1;	3351;0;	0; 
2020-06-19   13:24:47 ;	0;	55;	1;	3402;0;	0; 
2020-06-19   13:24:47 ;	0;	27;	2;	1120;0;	0; 
2020-06-19   13:24:47 ;	0;	57;	2;	1053;0;	0; 
2020-06-19   13:24:47 ;	0;	16;	3;	785;0;	0; 
2020-06-19   13:24:47 ;	0;	46;	3;	821;0;	0; 
2020-06-19   13:24:47 ;	0;	13;	4;	1170;0;	0; 
2020-06-19   13:24:47 ;	0;	43;	4;	1297;0;	0; 
2020-06-19   13:24:47 ;	0;	8;	0;	29404;0;	0; 
2020-06-19   13:24:47 ;	0;	38;	0;	28857;0;	0; 
2020-06-19   13:24:47 ;	0;	14;	1;	3679;0;	0; 
2020-06-19   13:24:47 ;	0;	44;	1;	3624;0;	0; 
2020-06-19   13:24:47 ;	0;	29;	2;	1150;0;	0; 
2020-06-19   13:24:47 ;	0;	59;	2;	1020;0;	0; 
2020-06-19   13:24:48 ;	0;	17;	3;	763;0;	0; 
2020-06-19   13:24:48 ;	0;	47;	3;	838;0;	0; 
2020-06-19   13:24:48 ;	0;	1;	4;	1106;0;	0; 
2020-06-19   13:24:48 ;	0;	31;	4;	1211;0;	0; 
2020-06-19   13:24:48 ;	0;	5;	0;	29187;0;	0; 
2020-06-19   13:24:48 ;	0;	35;	0;	29030;0;	0; 
2020-06-19   13:24:48 ;	0;	20;	1;	3595;0;	0; 
2020-06-19   13:24:48 ;	0;	50;	1;	3657;0;	0; 
2020-06-19   13:24:48 ;	0;	30;	2;	1078;0;	0; 
2020-06-19   13:24:48 ;	0;	60;	2;	1034;0;	0; 
2020-06-19   13:24:48 ;	0;	21;	3;	833;0;	0; 
2020-06-19   13:24:48 ;	0;	51;	3;	805;0;	0; 
2020-06-19   13:24:48 ;	0;	7;	4;	1109;0;	0; 
2020-06-19   13:24:48 ;	0;	37;	4;	1168;0;	0; 
2020-06-19   13:24:48 ;	0;	4;	0;	30665;0;	0; 
2020-06-19   13:24:48 ;	0;	15;	1;	3710;0;	0; 
2020-06-19   13:24:48 ;	0;	18;	2;	1120;0;	0; 
2020-06-19   13:24:48 ;	0;	34;	0;	29815;0;	0; 
2020-06-19   13:24:48 ;	0;	22;	3;	802;0;	0; 
2020-06-19   13:24:48 ;	0;	45;	1;	3562;0;	0; 
2020-06-19   13:24:48 ;	0;	6;	4;	1243;0;	0; 
2020-06-19   13:24:48 ;	0;	48;	2;	1111;0;	0; 
2020-06-19   13:24:48 ;	0;	52;	3;	812;0;	0; 
2020-06-19   13:24:48 ;	0;	36;	4;	1249;0;	0; 
2020-06-19   13:24:48 ;	0;	3;	0;	30287;0;	0; 
2020-06-19   13:24:48 ;	0;	33;	0;	28178;0;	0; 
2020-06-19   13:24:48 ;	0;	19;	1;	3489;0;	0; 
2020-06-19   13:24:48 ;	0;	49;	1;	3442;0;	0; 
2020-06-19   13:24:48 ;	0;	23;	2;	1206;0;	0; 
2020-06-19   13:24:48 ;	0;	53;	2;	1260;0;	0; 
2020-06-19   13:24:48 ;	0;	26;	3;	810;0;	0; 
2020-06-19   13:24:48 ;	0;	56;	3;	831;0;	0; 
2020-06-19   13:24:48 ;	0;	12;	4;	1309;0;	0; 
2020-06-19   13:24:48 ;	0;	42;	4;	1232;0;	0; 
2020-06-19   13:24:49 ;	0;	2;	0;	31613;0;	0; 
2020-06-19   13:24:49 ;	0;	32;	0;	28122;0;	0; 
2020-06-19   13:24:49 ;	0;	10;	1;	3565;0;	0; 
2020-06-19   13:24:49 ;	0;	40;	1;	3529;0;	0; 
2020-06-19   13:24:49 ;	0;	24;	2;	1195;0;	0; 
2020-06-19   13:24:49 ;	0;	54;	2;	1288;0;	0; 
2020-06-19   13:24:49 ;	0;	28;	3;	826;0;	0; 
2020-06-19   13:24:49 ;	0;	58;	3;	811;0;	0; 
2020-06-19   13:24:49 ;	0;	11;	4;	1168;0;	0; 
2020-06-19   13:24:49 ;	0;	41;	4;	1121;0;	0; 
2020-06-19   13:24:49 ;	0;	13;	0;	27844;0;	0; 
2020-06-19   13:24:49 ;	0;	43;	0;	29676;0;	0; 
2020-06-19   13:24:49 ;	0;	9;	1;	3612;0;	0; 
2020-06-19   13:24:49 ;	0;	39;	1;	3729;0;	0; 
2020-06-19   13:24:49 ;	0;	25;	2;	1103;0;	0; 
2020-06-19   13:24:49 ;	0;	55;	2;	1068;0;	0; 
2020-06-19   13:24:49 ;	0;	27;	3;	752;0;	0; 
2020-06-19   13:24:49 ;	0;	57;	3;	723;0;	0; 
2020-06-19   13:24:49 ;	0;	16;	4;	1148;0;	0; 
2020-06-19   13:24:49 ;	0;	46;	4;	1265;0;	0; 
2020-06-19   13:24:49 ;	0;	1;	0;	24242;0;	0; 
2020-06-19   13:24:49 ;	0;	8;	1;	3449;0;	0; 
2020-06-19   13:24:49 ;	0;	14;	2;	1231;0;	0; 
2020-06-19   13:24:49 ;	0;	31;	0;	25036;0;	0; 
2020-06-19   13:24:49 ;	0;	29;	3;	769;0;	0; 
2020-06-19   13:24:49 ;	0;	38;	1;	3708;0;	0; 
2020-06-19   13:24:49 ;	0;	17;	4;	1047;0;	0; 
2020-06-19   13:24:49 ;	0;	44;	2;	1278;0;	0; 
2020-06-19   13:24:49 ;	0;	59;	3;	788;0;	0; 
2020-06-19   13:24:49 ;	0;	47;	4;	1161;0;	0; 
2020-06-19   13:24:49 ;	0;	7;	0;	23157;0;	0; 
2020-06-19   13:24:49 ;	0;	37;	0;	24720;0;	0; 
2020-06-19   13:24:49 ;	0;	5;	1;	3416;0;	0; 
2020-06-19   13:24:49 ;	0;	35;	1;	3724;0;	0; 
2020-06-19   13:24:50 ;	0;	20;	2;	1185;0;	0; 
2020-06-19   13:24:50 ;	0;	50;	2;	1232;0;	0; 
2020-06-19   13:24:50 ;	0;	30;	3;	764;0;	0; 
2020-06-19   13:24:50 ;	0;	60;	3;	744;0;	0; 
2020-06-19   13:24:50 ;	0;	21;	4;	1235;0;	0; 
2020-06-19   13:24:50 ;	0;	51;	4;	1149;0;	0; 
2020-06-19   13:24:50 ;	0;	6;	0;	29312;0;	0; 
2020-06-19   13:24:50 ;	0;	36;	0;	25943;0;	0; 
2020-06-19   13:24:50 ;	0;	4;	1;	3550;0;	0; 
2020-06-19   13:24:50 ;	0;	34;	1;	3746;0;	0; 
2020-06-19   13:24:50 ;	0;	15;	2;	1238;0;	0; 
2020-06-19   13:24:50 ;	0;	45;	2;	1261;0;	0; 
2020-06-19   13:24:50 ;	0;	18;	3;	755;0;	0; 
2020-06-19   13:24:50 ;	0;	48;	3;	799;0;	0; 
2020-06-19   13:24:50 ;	0;	22;	4;	1126;0;	0; 
2020-06-19   13:24:50 ;	0;	52;	4;	1142;0;	0; 
2020-06-19   13:24:50 ;	0;	12;	0;	30127;0;	0; 
2020-06-19   13:24:50 ;	0;	42;	0;	24754;0;	0; 
2020-06-19   13:24:50 ;	0;	3;	1;	3492;0;	0; 
2020-06-19   13:24:50 ;	0;	33;	1;	3667;0;	0; 
2020-06-19   13:24:50 ;	0;	19;	2;	1156;0;	0; 
2020-06-19   13:24:50 ;	0;	49;	2;	1208;0;	0; 
2020-06-19   13:24:50 ;	0;	23;	3;	808;0;	0; 
2020-06-19   13:24:50 ;	0;	53;	3;	801;0;	0; 
2020-06-19   13:24:50 ;	0;	26;	4;	1221;0;	0; 
2020-06-19   13:24:50 ;	0;	56;	4;	1119;0;	0; 
2020-06-19   13:24:50 ;	0;	11;	0;	26558;0;	0; 
2020-06-19   13:24:50 ;	0;	2;	1;	3445;0;	0; 
2020-06-19   13:24:50 ;	0;	10;	2;	1175;0;	0; 
2020-06-19   13:24:50 ;	0;	41;	0;	22218;0;	0; 
2020-06-19   13:24:50 ;	0;	24;	3;	773;0;	0; 
2020-06-19   13:24:50 ;	0;	32;	1;	3501;0;	0; 
2020-06-19   13:24:50 ;	0;	28;	4;	1202;0;	0; 
2020-06-19   13:24:50 ;	0;	40;	2;	1212;0;	0; 
2020-06-19   13:24:51 ;	0;	54;	3;	759;0;	0; 
2020-06-19   13:24:51 ;	0;	58;	4;	1148;0;	0; 
2020-06-19   13:24:51 ;	0;	16;	0;	27999;0;	0; 
2020-06-19   13:24:51 ;	0;	46;	0;	25341;0;	0; 
2020-06-19   13:24:51 ;	0;	13;	1;	3336;0;	0; 
2020-06-19   13:24:51 ;	0;	43;	1;	3719;0;	0; 
2020-06-19   13:24:51 ;	0;	9;	2;	1246;0;	0; 
2020-06-19   13:24:51 ;	0;	39;	2;	1289;0;	0; 
2020-06-19   13:24:51 ;	0;	25;	3;	742;0;	0; 
2020-06-19   13:24:51 ;	0;	55;	3;	793;0;	0; 
2020-06-19   13:24:51 ;	0;	27;	4;	1153;0;	0; 
2020-06-19   13:24:51 ;	0;	57;	4;	1089;0;	0; 
2020-06-19   13:24:51 ;	0;	17;	0;	23716;0;	0; 
2020-06-19   13:24:51 ;	0;	47;	0;	24929;0;	0; 
2020-06-19   13:24:51 ;	0;	1;	1;	3281;0;	0; 
2020-06-19   13:24:51 ;	0;	31;	1;	3278;0;	0; 
2020-06-19   13:24:51 ;	0;	8;	2;	1171;0;	0; 
2020-06-19   13:24:51 ;	0;	38;	2;	1251;0;	0; 
2020-06-19   13:24:51 ;	0;	14;	3;	789;0;	0; 
2020-06-19   13:24:51 ;	0;	44;	3;	774;0;	0; 
2020-06-19   13:24:51 ;	0;	29;	4;	1193;0;	0; 
2020-06-19   13:24:51 ;	0;	59;	4;	1186;0;	0; 
2020-06-19   13:24:51 ;	0;	21;	0;	27005;0;	0; 
2020-06-19   13:24:51 ;	0;	51;	0;	26782;0;	0; 
2020-06-19   13:24:51 ;	0;	7;	1;	3315;0;	0; 
2020-06-19   13:24:51 ;	0;	37;	1;	3325;0;	0; 
2020-06-19   13:24:51 ;	0;	5;	2;	1151;0;	0; 
2020-06-19   13:24:51 ;	0;	35;	2;	1180;0;	0; 
2020-06-19   13:24:51 ;	0;	20;	3;	754;0;	0; 
2020-06-19   13:24:51 ;	0;	50;	3;	797;0;	0; 
2020-06-19   13:24:51 ;	0;	30;	4;	1132;0;	0; 
2020-06-19   13:24:51 ;	0;	60;	4;	1127;0;	0; 
2020-06-19   13:24:51 ;	0;	22;	0;	25150;0;	0; 
2020-06-19   13:24:52 ;	0;	52;	0;	26071;0;	0; 
2020-06-19   13:24:52 ;	0;	6;	1;	3343;0;	0; 
2020-06-19   13:24:52 ;	0;	36;	1;	3318;0;	0; 
2020-06-19   13:24:52 ;	0;	4;	2;	1157;0;	0; 
2020-06-19   13:24:52 ;	0;	34;	2;	1250;0;	0; 
2020-06-19   13:24:52 ;	0;	15;	3;	793;0;	0; 
2020-06-19   13:24:52 ;	0;	45;	3;	771;0;	0; 
2020-06-19   13:24:52 ;	0;	18;	4;	1182;0;	0; 
2020-06-19   13:24:52 ;	0;	48;	4;	1187;0;	0; 
2020-06-19   13:24:52 ;	0;	26;	0;	26624;0;	0; 
2020-06-19   13:24:52 ;	0;	56;	0;	23714;0;	0; 
2020-06-19   13:24:52 ;	0;	12;	1;	3605;0;	0; 
2020-06-19   13:24:52 ;	0;	42;	1;	3224;0;	0; 
2020-06-19   13:24:52 ;	0;	3;	2;	1152;0;	0; 
2020-06-19   13:24:52 ;	0;	33;	2;	1171;0;	0; 
2020-06-19   13:24:52 ;	0;	19;	3;	728;0;	0; 
2020-06-19   13:24:52 ;	0;	49;	3;	748;0;	0; 
2020-06-19   13:24:52 ;	0;	23;	4;	1268;0;	0; 
2020-06-19   13:24:52 ;	0;	53;	4;	1284;0;	0; 
2020-06-19   13:24:52 ;	0;	28;	0;	27313;0;	0; 
2020-06-19   13:24:52 ;	0;	58;	0;	26287;0;	0; 
2020-06-19   13:24:52 ;	0;	11;	1;	3305;0;	0; 
2020-06-19   13:24:52 ;	0;	41;	1;	2881;0;	0; 
2020-06-19   13:24:52 ;	0;	2;	2;	1153;0;	0; 
2020-06-19   13:24:52 ;	0;	32;	2;	1148;0;	0; 
2020-06-19   13:24:52 ;	0;	10;	3;	741;0;	0; 
2020-06-19   13:24:52 ;	0;	40;	3;	735;0;	0; 
2020-06-19   13:24:52 ;	0;	24;	4;	1245;0;	0; 
2020-06-19   13:24:52 ;	0;	54;	4;	1230;0;	0; 
2020-06-19   13:24:52 ;	0;	27;	0;	21829;0;	0; 
2020-06-19   13:24:52 ;	0;	57;	0;	25652;0;	0; 
2020-06-19   13:24:52 ;	0;	16;	1;	3178;0;	0; 
2020-06-19   13:24:52 ;	0;	46;	1;	3424;0;	0; 
2020-06-19   13:24:53 ;	0;	13;	2;	1116;0;	0; 
2020-06-19   13:24:53 ;	0;	43;	2;	1242;0;	0; 
2020-06-19   13:24:53 ;	0;	9;	3;	761;0;	0; 
2020-06-19   13:24:53 ;	0;	39;	3;	797;0;	0; 
2020-06-19   13:24:53 ;	0;	25;	4;	1143;0;	0; 
2020-06-19   13:24:53 ;	0;	55;	4;	1136;0;	0; 
2020-06-19   13:24:53 ;	0;	29;	0;	25999;0;	0; 
2020-06-19   13:24:53 ;	0;	59;	0;	24870;0;	0; 
2020-06-19   13:24:53 ;	0;	17;	1;	2958;0;	0; 
2020-06-19   13:24:53 ;	0;	47;	1;	3108;0;	0; 
2020-06-19   13:24:53 ;	0;	1;	2;	1009;0;	0; 
2020-06-19   13:24:53 ;	0;	31;	2;	1055;0;	0; 
2020-06-19   13:24:53 ;	0;	8;	3;	741;0;	0; 
2020-06-19   13:24:53 ;	0;	38;	3;	824;0;	0; 
2020-06-19   13:24:53 ;	0;	14;	4;	1255;0;	0; 
2020-06-19   13:24:53 ;	0;	44;	4;	1226;0;	0; 
2020-06-19   13:24:53 ;	0;	30;	0;	24123;0;	0; 
2020-06-19   13:24:53 ;	0;	21;	1;	3373;0;	0; 
2020-06-19   13:24:53 ;	0;	7;	2;	1046;0;	0; 
2020-06-19   13:24:53 ;	0;	60;	0;	25227;0;	0; 
2020-06-19   13:24:53 ;	0;	5;	3;	756;0;	0; 
2020-06-19   13:24:53 ;	0;	51;	1;	3388;0;	0; 
2020-06-19   13:24:53 ;	0;	20;	4;	1207;0;	0; 
2020-06-19   13:24:53 ;	0;	37;	2;	1060;0;	0; 
2020-06-19   13:24:53 ;	0;	35;	3;	790;0;	0; 
2020-06-19   13:24:53 ;	0;	50;	4;	1261;0;	0; 
2020-06-19   13:24:53 ;	0;	18;	0;	24901;0;	0; 
2020-06-19   13:24:53 ;	0;	48;	0;	25852;0;	0; 
2020-06-19   13:24:53 ;	0;	22;	1;	3331;0;	0; 
2020-06-19   13:24:53 ;	0;	52;	1;	3327;0;	0; 
2020-06-19   13:24:53 ;	0;	6;	2;	1112;0;	0; 
2020-06-19   13:24:53 ;	0;	36;	2;	1081;0;	0; 
2020-06-19   13:24:53 ;	0;	4;	3;	778;0;	0; 
2020-06-19   13:24:53 ;	0;	34;	3;	801;0;	0; 
2020-06-19   13:24:54 ;	0;	15;	4;	1280;0;	0; 
2020-06-19   13:24:54 ;	0;	45;	4;	1217;0;	0; 
2020-06-19   13:24:54 ;	0;	23;	0;	29077;0;	0; 
2020-06-19   13:24:54 ;	0;	53;	0;	29056;0;	0; 
2020-06-19   13:24:54 ;	0;	26;	1;	3485;0;	0; 
2020-06-19   13:24:54 ;	0;	56;	1;	3101;0;	0; 
2020-06-19   13:24:54 ;	0;	12;	2;	1211;0;	0; 
2020-06-19   13:24:54 ;	0;	42;	2;	1050;0;	0; 
2020-06-19   13:24:54 ;	0;	3;	3;	772;0;	0; 
2020-06-19   13:24:54 ;	0;	33;	3;	806;0;	0; 
2020-06-19   13:24:54 ;	0;	19;	4;	1176;0;	0; 
2020-06-19   13:24:54 ;	0;	49;	4;	1143;0;	0; 
2020-06-19   13:24:54 ;	0;	24;	0;	27468;0;	0; 
2020-06-19   13:24:54 ;	0;	54;	0;	29253;0;	0; 
2020-06-19   13:24:54 ;	0;	28;	1;	3451;0;	0; 
2020-06-19   13:24:54 ;	0;	58;	1;	3416;0;	0; 
2020-06-19   13:24:54 ;	0;	11;	2;	1070;0;	0; 
2020-06-19   13:24:54 ;	0;	41;	2;	955;0;	0; 
2020-06-19   13:24:54 ;	0;	2;	3;	783;0;	0; 
2020-06-19   13:24:54 ;	0;	32;	3;	782;0;	0; 
2020-06-19   13:24:54 ;	0;	10;	4;	1229;0;	0; 
2020-06-19   13:24:54 ;	0;	40;	4;	1194;0;	0; 
2020-06-19   13:24:54 ;	0;	25;	0;	24695;0;	0; 
2020-06-19   13:24:54 ;	0;	27;	1;	3335;0;	0; 
2020-06-19   13:24:54 ;	0;	16;	2;	1077;0;	0; 
2020-06-19   13:24:54 ;	0;	55;	0;	24844;0;	0; 
2020-06-19   13:24:54 ;	0;	13;	3;	732;0;	0; 
2020-06-19   13:24:54 ;	0;	57;	1;	3304;0;	0; 
2020-06-19   13:24:54 ;	0;	9;	4;	1265;0;	0; 
2020-06-19   13:24:54 ;	0;	46;	2;	1077;0;	0; 
2020-06-19   13:24:54 ;	0;	43;	3;	815;0;	0; 
2020-06-19   13:24:54 ;	0;	39;	4;	1280;0;	0; 
2020-06-19   13:24:54 ;	0;	14;	0;	30536;0;	0; 
2020-06-19   13:24:54 ;	0;	44;	0;	29096;0;	0; 
2020-06-19   13:24:54 ;	0;	29;	1;	3516;0;	0; 
2020-06-19   13:24:55 ;	0;	59;	1;	3382;0;	0; 
2020-06-19   13:24:55 ;	0;	17;	2;	953;0;	0; 
2020-06-19   13:24:55 ;	0;	47;	2;	1007;0;	0; 
2020-06-19   13:24:55 ;	0;	1;	3;	748;0;	0; 
2020-06-19   13:24:55 ;	0;	31;	3;	820;0;	0; 
2020-06-19   13:24:55 ;	0;	8;	4;	1193;0;	0; 
2020-06-19   13:24:55 ;	0;	38;	4;	1288;0;	0; 
2020-06-19   13:24:55 ;	0;	20;	0;	28685;0;	0; 
2020-06-19   13:24:55 ;	0;	50;	0;	27362;0;	0; 
2020-06-19   13:24:55 ;	0;	30;	1;	3350;0;	0; 
2020-06-19   13:24:55 ;	0;	60;	1;	3259;0;	0; 
2020-06-19   13:24:55 ;	0;	21;	2;	1075;0;	0; 
2020-06-19   13:24:55 ;	0;	51;	2;	1061;0;	0; 
2020-06-19   13:24:55 ;	0;	7;	3;	780;0;	0; 
2020-06-19   13:24:55 ;	0;	37;	3;	775;0;	0; 
2020-06-19   13:24:55 ;	0;	5;	4;	1234;0;	0; 
2020-06-19   13:24:55 ;	0;	35;	4;	1287;0;	0; 
2020-06-19   13:24:55 ;	0;	15;	0;	30405;0;	0; 
2020-06-19   13:24:55 ;	0;	45;	0;	27672;0;	0; 
2020-06-19   13:24:55 ;	0;	18;	1;	3285;0;	0; 
2020-06-19   13:24:55 ;	0;	48;	1;	3455;0;	0; 
2020-06-19   13:24:55 ;	0;	22;	2;	1069;0;	0; 
2020-06-19   13:24:55 ;	0;	52;	2;	1038;0;	0; 
2020-06-19   13:24:55 ;	0;	6;	3;	789;0;	0; 
2020-06-19   13:24:55 ;	0;	36;	3;	803;0;	0; 
2020-06-19   13:24:55 ;	0;	4;	4;	1257;0;	0; 
2020-06-19   13:24:55 ;	0;	34;	4;	1301;0;	0; 
2020-06-19   13:24:55 ;	0;	19;	0;	27049;0;	0; 
2020-06-19   13:24:55 ;	0;	23;	1;	3572;0;	0; 
2020-06-19   13:24:55 ;	0;	26;	2;	1127;0;	0; 
2020-06-19   13:24:55 ;	0;	49;	0;	26949;0;	0; 
2020-06-19   13:24:55 ;	0;	12;	3;	842;0;	0; 
2020-06-19   13:24:56 ;	0;	53;	1;	3799;0;	0; 
2020-06-19   13:24:56 ;	0;	3;	4;	1286;0;	0; 
2020-06-19   13:24:56 ;	0;	56;	2;	963;0;	0; 
2020-06-19   13:24:56 ;	0;	42;	3;	823;0;	0; 
2020-06-19   13:24:56 ;	0;	33;	4;	1289;0;	0; 
2020-06-19   13:24:56 ;	0;	10;	0;	29968;0;	0; 
2020-06-19   13:24:56 ;	0;	40;	0;	28424;0;	0; 
2020-06-19   13:24:56 ;	0;	24;	1;	3583;0;	0; 
2020-06-19   13:24:56 ;	0;	54;	1;	3704;0;	0; 
2020-06-19   13:24:56 ;	0;	28;	2;	1143;0;	0; 
2020-06-19   13:24:56 ;	0;	58;	2;	1070;0;	0; 
2020-06-19   13:24:56 ;	0;	11;	3;	788;0;	0; 
2020-06-19   13:24:56 ;	0;	41;	3;	792;0;	0; 
2020-06-19   13:24:56 ;	0;	2;	4;	1253;0;	0; 
2020-06-19   13:24:56 ;	0;	32;	4;	1320;0;	0; 
2020-06-19   13:24:56 ;	0;	9;	0;	32150;0;	0; 
2020-06-19   13:24:56 ;	0;	39;	0;	29547;0;	0; 
2020-06-19   13:24:56 ;	0;	25;	1;	3313;0;	0; 
2020-06-19   13:24:56 ;	0;	55;	1;	3382;0;	0; 
2020-06-19   13:24:56 ;	0;	27;	2;	1114;0;	0; 
2020-06-19   13:24:56 ;	0;	57;	2;	1030;0;	0; 
2020-06-19   13:24:56 ;	0;	16;	3;	785;0;	0; 
2020-06-19   13:24:56 ;	0;	46;	3;	815;0;	0; 
2020-06-19   13:24:56 ;	0;	13;	4;	1163;0;	0; 
2020-06-19   13:24:56 ;	0;	43;	4;	1280;0;	0; 
2020-06-19   13:24:56 ;	0;	8;	0;	29630;0;	0; 
2020-06-19   13:24:56 ;	0;	38;	0;	29024;0;	0; 
2020-06-19   13:24:56 ;	0;	14;	1;	3674;0;	0; 
2020-06-19   13:24:56 ;	0;	44;	1;	3584;0;	0; 
2020-06-19   13:24:56 ;	0;	29;	2;	1175;0;	0; 
2020-06-19   13:24:56 ;	0;	59;	2;	1014;0;	0; 
2020-06-19   13:24:56 ;	0;	17;	3;	755;0;	0; 
2020-06-19   13:24:56 ;	0;	47;	3;	809;0;	0; 
2020-06-19   13:24:56 ;	0;	1;	4;	1109;0;	0; 
2020-06-19   13:24:57 ;	0;	31;	4;	1200;0;	0; 
2020-06-19   13:24:57 ;	0;	5;	0;	29583;0;	0; 
2020-06-19   13:24:57 ;	0;	35;	0;	29065;0;	0; 
2020-06-19   13:24:57 ;	0;	20;	1;	3594;0;	0; 
2020-06-19   13:24:57 ;	0;	50;	1;	3650;0;	0; 
2020-06-19   13:24:57 ;	0;	30;	2;	1112;0;	0; 
2020-06-19   13:24:57 ;	0;	60;	2;	1047;0;	0; 
2020-06-19   13:24:57 ;	0;	21;	3;	822;0;	0; 
2020-06-19   13:24:57 ;	0;	51;	3;	799;0;	0; 
2020-06-19   13:24:57 ;	0;	7;	4;	1110;0;	0; 
2020-06-19   13:24:57 ;	0;	37;	4;	1190;0;	0; 
2020-06-19   13:24:57 ;	0;	4;	0;	31226;0;	0; 
2020-06-19   13:24:57 ;	0;	34;	0;	29962;0;	0; 
2020-06-19   13:24:57 ;	0;	15;	1;	3741;0;	0; 
2020-06-19   13:24:57 ;	0;	45;	1;	3541;0;	0; 
2020-06-19   13:24:57 ;	0;	18;	2;	1145;0;	0; 
2020-06-19   13:24:57 ;	0;	48;	2;	1100;0;	0; 
2020-06-19   13:24:57 ;	0;	22;	3;	803;0;	0; 
2020-06-19   13:24:57 ;	0;	52;	3;	807;0;	0; 
2020-06-19   13:24:57 ;	0;	6;	4;	1249;0;	0; 
2020-06-19   13:24:57 ;	0;	36;	4;	1241;0;	0; 
2020-06-19   13:24:57 ;	0;	3;	0;	30870;0;	0; 
2020-06-19   13:24:57 ;	0;	33;	0;	28322;0;	0; 
2020-06-19   13:24:57 ;	0;	19;	1;	3497;0;	0; 
2020-06-19   13:24:57 ;	0;	49;	1;	3406;0;	0; 
2020-06-19   13:24:57 ;	0;	23;	2;	1226;0;	0; 
2020-06-19   13:24:57 ;	0;	53;	2;	1240;0;	0; 
2020-06-19   13:24:57 ;	0;	26;	3;	825;0;	0; 
2020-06-19   13:24:57 ;	0;	56;	3;	812;0;	0; 
2020-06-19   13:24:57 ;	0;	12;	4;	1315;0;	0; 
2020-06-19   13:24:57 ;	0;	42;	4;	1206;0;	0; 
2020-06-19   13:24:57 ;	0;	2;	0;	32210;0;	0; 
2020-06-19   13:24:57 ;	0;	32;	0;	28281;0;	0; 
2020-06-19   13:24:57 ;	0;	10;	1;	3581;0;	0; 
2020-06-19   13:24:58 ;	0;	40;	1;	3506;0;	0; 
2020-06-19   13:24:58 ;	0;	24;	2;	1195;0;	0; 
2020-06-19   13:24:58 ;	0;	54;	2;	1258;0;	0; 
2020-06-19   13:24:58 ;	0;	28;	3;	825;0;	0; 
2020-06-19   13:24:58 ;	0;	58;	3;	818;0;	0; 
2020-06-19   13:24:58 ;	0;	11;	4;	1191;0;	0; 
2020-06-19   13:24:58 ;	0;	41;	4;	1121;0;	0; 
2020-06-19   13:24:58 ;	0;	13;	0;	28261;0;	0; 
2020-06-19   13:24:58 ;	0;	43;	0;	29839;0;	0; 
2020-06-19   13:24:58 ;	0;	9;	1;	3631;0;	0; 
2020-06-19   13:24:58 ;	0;	39;	1;	3699;0;	0; 
2020-06-19   13:24:58 ;	0;	25;	2;	1132;0;	0; 
2020-06-19   13:24:58 ;	0;	55;	2;	1052;0;	0; 
2020-06-19   13:24:58 ;	0;	27;	3;	753;0;	0; 
2020-06-19   13:24:58 ;	0;	57;	3;	725;0;	0; 
2020-06-19   13:24:58 ;	0;	16;	4;	1157;0;	0; 
2020-06-19   13:24:58 ;	0;	46;	4;	1261;0;	0; 
2020-06-19   13:24:58 ;	0;	1;	0;	24602;0;	0; 
2020-06-19   13:24:58 ;	0;	31;	0;	25363;0;	0; 
2020-06-19   13:24:58 ;	0;	8;	1;	3479;0;	0; 
2020-06-19   13:24:58 ;	0;	38;	1;	3705;0;	0; 
2020-06-19   13:24:58 ;	0;	14;	2;	1224;0;	0; 
2020-06-19   13:24:58 ;	0;	44;	2;	1278;0;	0; 
2020-06-19   13:24:58 ;	0;	29;	3;	787;0;	0; 
2020-06-19   13:24:58 ;	0;	59;	3;	799;0;	0; 
2020-06-19   13:24:58 ;	0;	17;	4;	1067;0;	0; 
2020-06-19   13:24:58 ;	0;	47;	4;	1179;0;	0; 
2020-06-19   13:24:58 ;	0;	7;	0;	23253;0;	0; 
2020-06-19   13:24:58 ;	0;	37;	0;	25156;0;	0; 
2020-06-19   13:24:58 ;	0;	5;	1;	3457;0;	0; 
2020-06-19   13:24:58 ;	0;	35;	1;	3655;0;	0; 
2020-06-19   13:24:58 ;	0;	20;	2;	1194;0;	0; 
2020-06-19   13:24:58 ;	0;	50;	2;	1227;0;	0; 
2020-06-19   13:24:59 ;	0;	30;	3;	767;0;	0; 
2020-06-19   13:24:59 ;	0;	60;	3;	775;0;	0; 
2020-06-19   13:24:59 ;	0;	21;	4;	1237;0;	0; 
2020-06-19   13:24:59 ;	0;	51;	4;	1168;0;	0; 
2020-06-19   13:24:59 ;	0;	6;	0;	29721;0;	0; 
