Peek Lid Scan 

Barcode Fluorometer 1: 10164802459125008321372; 
Barcode Fluorometer 2: 20163102452123308261375; 

SystemTime; Bank No;	Well No;	Color;	RFU;	Time;	CycleNo; 
2020-06-19   13:24:28 ;	0;	48;	1;	3439;0;	0; 
2020-06-19   13:24:28 ;	0;	22;	2;	1074;0;	0; 
2020-06-19   13:24:28 ;	0;	52;	2;	1027;0;	0; 
2020-06-19   13:24:28 ;	0;	6;	3;	779;0;	0; 
2020-06-19   13:24:28 ;	0;	36;	3;	798;0;	0; 
2020-06-19   13:24:28 ;	0;	4;	4;	1229;0;	0; 
2020-06-19   13:24:28 ;	0;	34;	4;	1299;0;	0; 
2020-06-19   13:24:28 ;	0;	19;	0;	26674;0;	0; 
2020-06-19   13:24:28 ;	0;	49;	0;	26599;0;	0; 
2020-06-19   13:24:29 ;	0;	23;	1;	3565;0;	0; 
2020-06-19   13:24:29 ;	0;	53;	1;	3808;0;	0; 
2020-06-19   13:24:29 ;	0;	26;	2;	1126;0;	0; 
2020-06-19   13:24:29 ;	0;	56;	2;	965;0;	0; 
2020-06-19   13:24:29 ;	0;	12;	3;	833;0;	0; 
2020-06-19   13:24:29 ;	0;	42;	3;	817;0;	0; 
2020-06-19   13:24:29 ;	0;	3;	4;	1258;0;	0; 
2020-06-19   13:24:29 ;	0;	33;	4;	1307;0;	0; 
2020-06-19   13:24:29 ;	0;	10;	0;	29805;0;	0; 
2020-06-19   13:24:29 ;	0;	24;	1;	3572;0;	0; 
2020-06-19   13:24:29 ;	0;	28;	2;	1135;0;	0; 
2020-06-19   13:24:29 ;	0;	40;	0;	28002;0;	0; 
2020-06-19   13:24:29 ;	0;	11;	3;	787;0;	0; 
2020-06-19   13:24:29 ;	0;	54;	1;	3695;0;	0; 
2020-06-19   13:24:29 ;	0;	2;	4;	1266;0;	0; 
2020-06-19   13:24:29 ;	0;	58;	2;	1035;0;	0; 
2020-06-19   13:24:29 ;	0;	41;	3;	788;0;	0; 
2020-06-19   13:24:29 ;	0;	32;	4;	1311;0;	0; 
2020-06-19   13:24:29 ;	0;	9;	0;	31928;0;	0; 
2020-06-19   13:24:29 ;	0;	39;	0;	29242;0;	0; 
2020-06-19   13:24:29 ;	0;	25;	1;	3335;0;	0; 
2020-06-19   13:24:29 ;	0;	55;	1;	3336;0;	0; 
2020-06-19   13:24:29 ;	0;	27;	2;	1125;0;	0; 
2020-06-19   13:24:29 ;	0;	57;	2;	1001;0;	0; 
2020-06-19   13:24:29 ;	0;	16;	3;	787;0;	0; 
2020-06-19   13:24:29 ;	0;	46;	3;	818;0;	0; 
2020-06-19   13:24:29 ;	0;	13;	4;	1163;0;	0; 
2020-06-19   13:24:29 ;	0;	43;	4;	1260;0;	0; 
2020-06-19   13:24:29 ;	0;	8;	0;	29520;0;	0; 
2020-06-19   13:24:29 ;	0;	38;	0;	28680;0;	0; 
2020-06-19   13:24:29 ;	0;	14;	1;	3672;0;	0; 
2020-06-19   13:24:29 ;	0;	44;	1;	3596;0;	0; 
2020-06-19   13:24:29 ;	0;	29;	2;	1155;0;	0; 
2020-06-19   13:24:29 ;	0;	59;	2;	999;0;	0; 
2020-06-19   13:24:30 ;	0;	17;	3;	742;0;	0; 
2020-06-19   13:24:30 ;	0;	47;	3;	820;0;	0; 
2020-06-19   13:24:30 ;	0;	1;	4;	1118;0;	0; 
2020-06-19   13:24:30 ;	0;	31;	4;	1190;0;	0; 
2020-06-19   13:24:30 ;	0;	5;	0;	29489;0;	0; 
2020-06-19   13:24:30 ;	0;	35;	0;	28894;0;	0; 
2020-06-19   13:24:30 ;	0;	20;	1;	3572;0;	0; 
